task_id,task_type,start_time,target_id,robot_id,priority,cur_status,dependency,finish_time,description
203,ExecuteTask,"2020-06-01 11:47:10",22,2,2,RanToCompletion,0,"2020-06-01 11:48:46",Succeeded
204,ExecuteTask,"2020-06-01 11:47:55",23,1,2,RanToCompletion,0,"2020-06-01 11:51:39",Succeeded
205,ExecuteTask,"2020-06-01 11:48:40",24,3,2,RanToCompletion,0,"2020-06-01 11:51:09",Succeeded
206,ExecuteTask,"2020-06-01 11:49:25",25,2,2,RanToCompletion,0,"2020-06-01 11:53:17",Succeeded
207,ExecuteTask,"2020-06-01 11:50:10",26,NULL,2,Created,0,NULL,NULL
208,ExecuteTask,"2020-06-01 11:50:55",27,NULL,2,Created,0,NULL,NULL
209,ExecuteTask,"2020-06-01 11:51:40",28,3,2,RanToCompletion,0,"2020-06-01 11:54:08",Succeeded
210,ExecuteTask,"2020-06-01 11:52:25",29,1,2,RanToCompletion,0,"2020-06-01 11:55:01",Succeeded
211,ExecuteTask,"2020-06-01 11:53:10",30,NULL,2,Created,0,NULL,NULL
212,ExecuteTask,"2020-06-01 11:53:55",21,2,2,RanToCompletion,0,"2020-06-01 11:56:15",Succeeded
213,ExecuteTask,"2020-06-01 11:54:40",22,3,2,RanToCompletion,0,"2020-06-01 11:57:29",Succeeded
214,ExecuteTask,"2020-06-01 11:55:25",23,1,2,RanToCompletion,0,"2020-06-01 11:58:07",Succeeded
215,ExecuteTask,"2020-06-01 11:56:10",24,NULL,2,Created,0,NULL,NULL
216,ExecuteTask,"2020-06-01 11:56:55",25,2,2,RanToCompletion,0,"2020-06-01 11:59:14",Succeeded
217,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 12:00:42",Succeeded
218,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 12:00:42",Succeeded
219,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 12:00:43",Succeeded
220,ExecuteTask,"2020-06-01 12:01:27",21,2,2,RanToCompletion,0,"2020-06-01 12:03:13",Succeeded
221,ExecuteTask,"2020-06-01 12:02:12",22,1,2,RanToCompletion,0,"2020-06-01 12:04:19",Succeeded
222,ExecuteTask,"2020-06-01 12:02:57",23,3,2,RanToCompletion,0,"2020-06-01 12:03:49",Succeeded
223,ExecuteTask,"2020-06-01 12:03:42",24,2,2,RanToCompletion,0,"2020-06-01 12:05:35",Succeeded
224,ExecuteTask,"2020-06-01 12:04:27",25,3,2,RanToCompletion,0,"2020-06-01 12:06:41",Succeeded
225,ExecuteTask,"2020-06-01 12:05:12",26,1,2,RanToCompletion,0,"2020-06-01 12:08:07",Succeeded
226,ExecuteTask,"2020-06-01 12:05:57",27,2,2,RanToCompletion,0,"2020-06-01 12:08:06",Succeeded
227,ExecuteTask,"2020-06-01 12:06:42",28,NULL,2,Created,0,NULL,NULL
228,ExecuteTask,"2020-06-01 12:07:27",29,3,2,RanToCompletion,0,"2020-06-01 12:09:35",Succeeded
229,ExecuteTask,"2020-06-01 12:08:12",30,2,2,RanToCompletion,0,"2020-06-01 12:09:45",Succeeded
230,ExecuteTask,"2020-06-01 12:08:57",21,1,2,RanToCompletion,0,"2020-06-01 12:12:00",Succeeded
231,ExecuteTask,"2020-06-01 12:09:42",22,3,2,RanToCompletion,0,"2020-06-01 12:12:20",Succeeded
232,ExecuteTask,"2020-06-01 12:10:27",23,2,2,RanToCompletion,0,"2020-06-01 12:12:08",Succeeded
233,ExecuteTask,"2020-06-01 12:11:12",24,NULL,2,Created,0,NULL,NULL
234,ExecuteTask,"2020-06-01 12:11:57",25,NULL,2,Created,0,NULL,NULL
235,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 12:14:41",Succeeded
236,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 12:14:41",Succeeded
237,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 12:14:41",Succeeded
238,ExecuteTask,"2020-06-01 12:15:26",21,2,2,RanToCompletion,0,"2020-06-01 12:17:11",Succeeded
239,ExecuteTask,"2020-06-01 12:16:11",22,3,2,RanToCompletion,0,"2020-06-01 12:17:01",Succeeded
240,ExecuteTask,"2020-06-01 12:16:56",23,1,2,RanToCompletion,0,"2020-06-01 12:20:24",Succeeded
241,ExecuteTask,"2020-06-01 12:17:41",24,3,2,RanToCompletion,0,"2020-06-01 12:20:03",Succeeded
242,ExecuteTask,"2020-06-01 12:18:26",25,2,2,RanToCompletion,0,"2020-06-01 12:21:21",Succeeded
243,ExecuteTask,"2020-06-01 12:19:11",26,NULL,2,Created,0,NULL,NULL
244,ExecuteTask,"2020-06-01 12:19:56",27,NULL,2,Created,0,NULL,NULL
